Rank,Company,Main markets,Technology,Totalsubscriptions(in millions),Ownership(100% ownership unless stated otherwise)
1,China MobileCommunications Corporation,China (China Mobile) Hong Kong (CMHK) Pakistan (Zong),"List  GSM, GPRS, EDGE, TD-SCDMA,    TD-HSDPA,    TD-LTE, FD-LTE (Hong Kong only), 4G+, 5G",1003.9[1](September 2024),Government of the People's Republic of China (74.25%)Public stock (25.75%)
2,Bharti Airtel Limited,List  India (Airtel) Chad (Airtel) DR Congo (Airtel) Gabon (Airtel) Kenya (Airtel Kenya) Madagascar (Airtel) Malawi  (Airtel) Niger (Airtel) Nigeria (Airtel) Republic of the Congo (Airtel) Rwanda (Airtel) Seychelles (Airtel) Tanzania (Airtel Tanzania) Uganda (Airtel Uganda) Zambia (Airtel),"List GSM, GPRS, EDGE,HSPA, UMTS, HSPA+,LTE, TD-LTE, FD-LTE, LTE Advanced, 5G",563.2[2]  (September 2024),Bharti Enterprises (66.57%)Singtel (32.15%)Google (1.28%)
3,Reliance Jio Infocomm Limited,India,"List LTE, TD-LTE, FD-LTE, LTE Advanced, 5G",477.50[3] (July 2025),Jio Platforms
4,"China Telecom Corp., Ltd",China Macau,"List CDMA, EV-DOTD-LTE, LTE, 4G+, 5G",423.4[4](September 2024),China Telecommunications Corporation (State Owned) (70.89%)
5,China Unicom Limited,China,"List GSM, GPRS, EDGE,UMTS, TD-LTE, LTE, 4G+, 5G",345.0[5](September 2024),China Unicom Limited (40.92%)China Netcom Group (29.49%)Telefónica (0.6%)
6,Vodafone Group plc,List  Albania (Vodafone) Australia (Vodafone) Czech Republic (Vodafone) Egypt (Vodafone) Germany (Vodafone) Greece (Vodafone) Ireland (Vodafone) Netherlands (Vodafone) Northern Cyprus (Vodafone) Portugal (Vodafone) Romania (Vodafone) South Africa (Vodacom) Tanzania (Vodacom) Turkey (Vodafone) United Kingdom (Vodafone),"List GSM, GPRS, EDGE,HSPA, HSPA+,LTE, LTE Advanced, 5G",310.0[6](May 2024),
7,"América Móvil, S.A.B. de C.V",List  Argentina (Claro) Austria (Telekom Austria) Belarus (A1) Brazil (Claro) Bulgaria (A1) Chile (Claro) Colombia (Claro) Costa Rica (Claro) Croatia (A1) Dominican Republic (Claro) Ecuador (Claro) El Salvador (Claro) Guatemala (Claro) Honduras (Claro) Mexico (Telcel) Nicaragua (Claro) North Macedonia (A1) Paraguay (Claro) Peru (Claro) Puerto Rico (Claro) Serbia (A1) Slovenia (A1 Slovenija) Uruguay (Claro),"List D-AMPS, cdmaOne, CDMA2000 1x, EV-DO,GSM, GPRS, EDGE,UMTS, HSPA+,LTE",315.8[7](September 2024),Helu Slim (36.50%)Carlos Slim (6.84%)Public stock (56.66%)
8,Orange S.A.,List  Belgium (Orange) Botswana (Orange) Cameroon (Orange) Central African Republic (Orange) Democratic Republic of the Congo (Orange) Dominican Republic (Orange) Egypt (Orange) Equatorial Guinea (Orange) France (Orange) Guinea (Sonatel) Guinea-Bissau (Sonatel) Ivory Coast Jordan (Orange) Kenya (Orange) Luxembourg Madagascar (Orange) Mali (Orange) Moldova (Orange) Morocco (Orange) Niger (Orange) Poland (Orange) Romania (Orange) Senegal (Orange) (50%) Slovakia (Orange) Spain (Orange) Tunisia (Orange),"List GSM, GPRS, EDGE,UMTS, HSDPA, HSPA+,LTE",305.3[8](December 2024),Public stock (77%)Government of France (23%)
9,Telefónica S.A.,List  Argentina (Movistar) Brazil (Vivo) Chile (Movistar) Colombia (Movistar) Ecuador (Movistar) Germany (O2) Mexico (Movistar) Peru (Movistar) Spain (Movistar) United Kingdom (O2) Uruguay (Movistar) Venezuela (Movistar),"List D-AMPS, cdmaOne, CDMA2000,GSM, GPRS, EDGE,UMTS, HSDPA,LTE",270.5[9](May 2025),
10,MTN Group Limited,List  Benin Botswana Cameroon Republic of the Congo Eswatini (30%) Ghana Guinea Iran (49%) Ivory Coast Liberia Nigeria Rwanda South Africa South Sudan Sudan Uganda Zambia,"List GSM,",288.0[10](September 2024),Public stock (60.02%)Government Employees Pension Fund (25.33%) M1 (10.05%)
11,Deutsche Telekom AG,List  Austria (Magenta Telekom) Croatia (Hrvatski Telekom) Czech Republic (T-Mobile CZ) Germany (Deutsche Telekom) Greece (Cosmote) Hungary (Magyar Telekom) Montenegro (Crnogorski Telekom) North Macedonia (Makedonski Telekom) Poland (T-Mobile PL) Puerto Rico (T-Mobile US) Romania (Telekom Romania) Slovakia (Slovak Telekom) United States (T-Mobile US) United States Virgin Islands (T-Mobile US),"List GSM, GPRS, EDGE,UMTS, HSPA, HSPA+, DC-HSPA+,LTE, LTE-A, LTE-A Pro, 5G NR",258.8[11](September 2024),Free float (68.1%)Federal Republic of Germany (31.9%)
12,Vodafone Idea Ltd,India,"List GSM, GPRS, EDGE,UMTS, HSPA, HSPA+,LTE, TD-LTE, FD-LTE, LTE Advanced, 5G",203.86[12](July 2025),Government of India (49.8%)Vodafone Group Plc (23.2%)Aditya Birla Group (9.85%)
13,Axiata Group Berhad,List  Bangladesh (Robi) Cambodia (Smart) Indonesia (XLSmart)  Malaysia (CelcomDigi) Sri Lanka (Dialog),"List GSM, GPRS, EDGE,UMTS, HSDPA, HSPA+,LTE, LTE-A,5G NR",162.5[13] (December 2023),Public stock (54.91%)Government of Malaysia (45.09%)
14,PT Telekomunikasi Selular (Telkomsel),Indonesia East Timor,"List GSM, GPRS, EDGE,UMTS, HSDPA, HSPA+,LTE, 5G",159.3[14](December 2023),Telkom Indonesia (65%)Singtel (35%)
15,Emirates TelecommunicationGroup Company PJSC (Etisalat),List  Afghanistan (etisalat) Benin (Moov) Burkina Faso (Moov) Central African Republic (Moov) Chad (Moov) Egypt (e& Egypt) Gabon (Moov) Côte d'Ivoire (Moov) Mali (Sotelma) Mauritania (Mauritel) Morocco (Maroc Telecom) Niger (Moov) Pakistan (Ufone) Saudi Arabia (Mobily) Togo (Moov) United Arab Emirates (e&),"List GSM, GPRS, EDGE,UMTS, HSDPA,LTE",159[15](2021),Emirates Investment Authority (60.03%)Public stock (39.97%)
